$r (m)$	u$r (m)$	$F (N)$	u$F (N)$
1.0	0.07316220184780846	6.893845046377231e-11	3.785670380641082e-12
2.0	0.1492751576917354	1.6418425486984024e-11	1.6084026425684622e-12
3.0	0.13423277988025006	7.098803971480968e-12	7.532708734793558e-13
4.0	0.0951663829936192	3.999144734425883e-12	5.593635506137449e-13
5.0	0.1293556144447252	2.608919824226776e-12	3.5764581122334846e-13
6.0	0.06840164815886485	1.8009246213030465e-12	9.107970217570611e-14
7.0	0.12022090343067926	1.3122580988781026e-12	1.4711980720532138e-13
8.0	0.07495653084902071	1.0619832346155585e-12	8.300249088131099e-14
9.0	0.10349434235357814	8.283359730879508e-13	1.1934119340899634e-13
10.0	0.12282583880371002	6.909482715916617e-13	6.525583682174036e-14
